co2;temp;hum;label
21406.86;28.48;83.81;2
17700.44;28.65;82.36;2
19601.43;28.71;82.2;2
33392.12;28.89;81.4;2
33193.26;28.75;79.37;2
31247.9;28.95;81.25;2
36148.44;28.96;79.75;2
23198.67;28.92;83.13;2
37456.22;29.11;79.8;2
34180.88;28.99;76.4;2
29922.47;28.95;71.8;2
28119.66;28.95;68.03;2
28023.7;29.16;72.89;2
28862.41;29.06;71.73;2
26084.63;29.12;76.17;2
29211.28;29.33;73.26;2
34647.08;29.22;72.17;2
24923.68;29.29;74.96;2
31644.54;29.46;72.34;2
32375.35;29.47;66.35;2
30701.32;29.62;72.74;2
27747.88;29.53;74.12;2
33396.54;29.69;67.96;2
30622.24;29.74;65.81;2
24146.7;29.74;73.16;2
27669.36;29.85;74.15;2
34189.51;30.01;72.45;2
35438.42;30.14;71.4;2
30431.45;30.04;72.44;2
35266.88;30.18;70.89;2
34731.12;30.17;70.11;2
30145.7;30.29;72.35;2
34876.23;30.32;70.01;2
34703.46;30.41;74.93;2
38289.02;30.32;70.65;2
31737.3;30.48;73.63;2
39553.8;30.34;65.58;2
28979.42;30.32;72.92;2
36211.47;30.34;63.54;2
29606.75;30.4;71.27;2
28103.84;30.4;71.81;2
28938.56;30.44;67.34;2
26591.37;30.42;70.13;2
27102.84;30.49;68.16;2
25439.41;30.45;69.13;2
26556.35;30.53;66.6;2
25047.01;30.52;69.49;2
26018.53;30.61;66.07;2
27599.53;30.68;70.1;2
27679.81;30.63;67.51;2
28815.67;30.75;70.35;2
27490.52;30.77;73.05;2
29226.9;30.82;71.06;2
28917.26;30.76;69.9;2
25921.34;30.88;72.56;2
28397.39;30.92;69.16;2
29444.51;30.93;73.27;2
27936.27;31.0;73.6;2
23785.86;30.97;73.03;2
26722.13;31.0;70.65;2
25319.71;30.99;73.53;2
25972.16;31.1;75.47;2
28939.08;31.13;75.93;2
24918.48;31.1;77.35;2
29233.85;31.19;75.74;2
28667.11;31.17;74.33;2
28330.77;31.21;75.96;2
30733.95;31.24;74.37;2
30061.3;31.27;75.26;2
31261.23;31.24;73.18;2
